X,Y,fid,Name,X_ADDR,ADDRESSFLOORNUMBER,Address_Type,PHOTOURL,Y_ADDR,ADDRESSBUILDINGNAME,HYPERLINK,LANDYADDRESSPOINT,INC_CRC,SHAPE,ADDRESSPOSTALCODE,FMEL_UPD_D,ADDRESSSTREETNAME,ADDRESSUNITNUMBER,LANDXADDRESSPOINT,ADDRESSBLOCKHOUSENUMBER,DESCRIPTION
103.856853966617,1.30733651651614,HAWKERCENTRE.84,Berseh Food Centre,30619.2699,,,,32184.16,,,32184.16,A7CCEB2CE383282D,Point,208877,4/11/2017 10:49:15 AM,Jalan Besar,,30619.27,166,HUP Standard Upgrading
103.839945947186,1.28823055540125,HAWKERCENTRE.85,Blk 1 Jalan Kukoh,28737.57,,,,30071.5099,,,30071.51,8943084AC79E5165,Point,161001,4/11/2017 10:49:15 AM,Jalan Kukoh,,28737.57,1,HUP Standard Upgrading
103.818641695106,1.27736683810456,HAWKERCENTRE.86,Blk 11 Telok Blangah Crescent,26366.58,,,,28870.2599,,,28870.26,917DDC2AECE36927,Point,90011,4/11/2017 10:49:15 AM,Telok Blangah Crescent,,26366.58,11,HUP Standard Upgrading
103.88701902611,1.32064829235064,HAWKERCENTRE.87,Blk 117 Aljunied Ave 2,33976.33,,,,33656.16,,,33656.16,AA7744C0D466F5BF,Point,380117,4/11/2017 10:49:15 AM,Aljunied Ave 2,,33976.33,117,HUP Standard Upgrading
103.844731621961,1.33809268551439,HAWKERCENTRE.88,Blk 127 Toa Payoh Lorong 1,29270.15,,,,35585.0099,,,35585.01,ED2DB7B701CD3F02,Point,310127,4/11/2017 10:49:15 AM,Lorong 1 Toa Payoh,,29270.15,127,HUP Reconfiguration
103.944624481151,1.34563952102332,HAWKERCENTRE.89,Blk 137 Tampines Street 11,40387.1299,,,,36419.7799,,,36419.78,F6017D5FF0CFCB30,Point,521137,4/11/2017 10:49:15 AM,Tampines Street 11,,40387.13,137,HUP Reconfiguration
103.759751321019,1.31180301004286,HAWKERCENTRE.90,Blk 503 West Coast Drive,19812.66,,,,32678.15,,,32678.15,7A279834ADC45AEF,Point,120503,4/11/2017 10:49:15 AM,West Coast Drive,,19812.66,503,HUP Standard Upgrading
103.915761950557,1.30577514781207,HAWKERCENTRE.91,Blk 50A Marine Terrace,37175.19,,,,32011.65,,,32011.65,6834B490EBE77FE9,Point,441050,4/11/2017 10:49:15 AM,Marine Terrace,,37175.19,50A,HUP Standard Upgrading
103.885833217727,1.30825156309893,HAWKERCENTRE.92,Blk 51 Old Airport Road,33844.3899,,,,32285.39,,,32285.39,49DC3EB458653325,Point,390051,4/11/2017 10:49:15 AM,Old Airport Road,,33844.39,51,HUP Standard Upgrading
103.930602144469,1.33324627868997,HAWKERCENTRE.93,Blk 511 Bedok North Street 3,38826.65,,,,35049.33,,,35049.33,29D02D34FD47BA8F,Point,460511,4/11/2017 10:49:15 AM,Bedok North Street 3,,38826.65,511,HUP Standard Upgrading
103.797625756738,1.30078931480947,HAWKERCENTRE.94,Tanglin Halt Market,24027.71,,,,31460.22,,,31460.22,74052054AC21AE17,Point,148813,4/11/2017 10:49:15 AM,Tanglin Halt Road,,24027.71,48A,HUP Standard Upgrading
103.850530969624,1.30620584090831,HAWKERCENTRE.95,Tekka Market,29915.58,,,,32059.13,,,32059.13,D09ADF34B1DBABDE,Point,210665,4/11/2017 10:49:15 AM,Buffalo Road,,29915.58,665,HUP Standard Upgrading
103.831189303546,1.29234216758075,HAWKERCENTRE.96,Zion Riverside Food Centre,27763.03,,,,30526.15,,,30526.15,41709ABE4A1AC557,Point,247792,4/11/2017 10:49:15 AM,Zion Road,,27763.03,70,HUP Standard Upgrading
103.852941556275,1.33603882157119,HAWKERCENTRE.97,Blk 75 Toa Payoh Lorong 5,30183.83,,,,35357.91,,,35357.91,83FB95F6865FD552,Point,310075,4/11/2017 10:49:15 AM,Lorong 5 Toa Payoh,,30183.83,75,HUP Standard Upgrading
103.818402623449,1.28785810256754,HAWKERCENTRE.98,Blk 79 Redhill Lane,26339.98,,,,30030.33,,,30030.33,ECAC58C7BF378E64,Point,150079,4/11/2017 10:49:15 AM,Redhill Lane,,26339.98,79,HUP Reconfiguration
